Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
bzip_cl_size_16kB	0.199647	1.996467	0.027922	0.000098	0.591928
bzip_cl_size_32kB	0.182020	1.820196	0.022715	0.000089	0.422282
bzip_cl_size_64kB	0.170802	1.708017	0.019996	0.000078	0.292534
bzip_cl_size_128kB	0.171252	1.712524	0.020512	0.000064	0.209564
bzip_cl_size_256kB	0.174333	1.743329	0.022702	0.000055	0.171128

bzip_l1d_assoc_1	0.170802	1.708017	0.019996	0.000078	0.292534
bzip_l1d_assoc_2	0.168627	1.686267	0.017817	0.000078	0.327901
bzip_l1d_assoc_4	0.167297	1.672972	0.016521	0.000078	0.354779
bzip_l1d_assoc_8	0.166584	1.665842	0.015821	0.000078	0.371334
bzip_l1d_assoc_16	0.165920	1.659199	0.015247	0.000078	0.386146

bzip_l1d_size_8kB	0.185142	1.851421	0.033442	0.000078	0.172859
bzip_l1d_size_16kB	0.176792	1.767923	0.025908	0.000078	0.223999
bzip_l1d_size_32kB	0.170802	1.708017	0.019996	0.000078	0.292534
bzip_l1d_size_64kB	0.166955	1.669551	0.016014	0.000078	0.368760
bzip_l1d_size_128kB	0.163484	1.634842	0.012465	0.000078	0.481328

bzip_l1i_assoc_1	0.170795	1.707952	0.019997	0.000069	0.292535
bzip_l1i_assoc_2	0.170794	1.707944	0.019994	0.000072	0.292531
bzip_l1i_assoc_4	0.170794	1.707944	0.019997	0.000070	0.292530
bzip_l1i_assoc_8	0.170794	1.707944	0.019996	0.000069	0.292535
bzip_l1i_assoc_16	0.170795	1.707952	0.019997	0.000069	0.292535

bzip_l1i_size_8kB	0.167027	1.670273	0.016013	0.000439	0.367289
bzip_l1i_size_16kB	0.166996	1.669961	0.016010	0.000276	0.367979
bzip_l1i_size_32kB	0.166934	1.669344	0.016014	0.000090	0.368725
bzip_l1i_size_64kB	0.166955	1.669551	0.016014	0.000078	0.368760
bzip_l1i_size_128kB	0.166955	1.669551	0.016012	0.000072	0.368794

bzip_l2_assoc_1		0.168627	1.686267	0.017817	0.000078	0.327901
bzip_l2_assoc_2		0.170802	1.708017	0.019996	0.000078	0.292534
bzip_l2_assoc_4		0.170580	1.705801	0.019997	0.000078	0.285547
bzip_l2_assoc_8		0.170466	1.704658	0.019995	0.000078	0.282452
bzip_l2_assoc_16	0.170423	1.704230	0.019998	0.000078	0.281067

bzip_l2_size_128kB	0.186439	1.864395	0.019915	0.000078	0.536762
bzip_l2_size_256kB	0.176081	1.760808	0.019980	0.000078	0.379921
bzip_l2_size_512kB	0.170802	1.708017	0.019996	0.000078	0.292534
bzip_l2_size_1024kB	0.168467	1.684671	0.019998	0.000078	0.245802
