Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
hmmer_cl_size_16kB	0.125020	1.250196	0.010481	0.000454	0.043913
hmmer_cl_size_32kB	0.124441	1.244409	0.007620	0.000422	0.031511
hmmer_cl_size_64kB	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_cl_size_128kB	0.129723	1.297228	0.008357	0.000387	0.008395
hmmer_cl_size_256kB	0.133002	1.330016	0.009994	0.000413	0.003915

hmmer_l1d_assoc_1	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_l1d_assoc_2	0.118805	1.188051	0.002149	0.000405	0.057362
hmmer_l1d_assoc_4	0.118645	1.186449	0.002032	0.000405	0.060477
hmmer_l1d_assoc_8	0.118642	1.186417	0.002035	0.000404	0.060366
hmmer_l1d_assoc_16	0.118641	1.186409	0.002040	0.000404	0.060221

hmmer_l1d_size_8kB	0.138929	1.389285	0.017898	0.000406	0.007290
hmmer_l1d_size_16kB	0.129909	1.299092	0.010492	0.000406	0.012259
hmmer_l1d_size_32kB	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_l1d_size_64kB	0.120546	1.205458	0.003092	0.000405	0.041332
hmmer_l1d_size_128kB	0.118817	1.188165	0.001331	0.000403	0.089556

hmmer_l1i_assoc_1	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_l1i_assoc_2	0.126085	1.260854	0.007328	0.000088	0.017721
hmmer_l1i_assoc_4	0.126085	1.260854	0.007328	0.000084	0.017719
hmmer_l1i_assoc_8	0.126085	1.260854	0.007328	0.000081	0.017725
hmmer_l1i_assoc_16	0.126084	1.260835	0.007328	0.000081	0.017738

hmmer_l1i_size_8kB	0.133596	1.335956	0.003092	0.034964	0.007673
hmmer_l1i_size_16kB	0.133484	1.334838	0.003092	0.034551	0.007768
hmmer_l1i_size_32kB	0.133390	1.333895	0.003092	0.034198	0.007839
hmmer_l1i_size_64kB	0.120546	1.205458	0.003092	0.000405	0.041332
hmmer_l1i_size_128kB	0.120537	1.205370	0.003092	0.000366	0.041567

hmmer_l2_assoc_1	0.126171	1.261711	0.007328	0.000405	0.017392
hmmer_l2_assoc_2	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_l2_assoc_4	0.126171	1.261711	0.007328	0.000405	0.017392
hmmer_l2_assoc_8	0.126171	1.261711	0.007328	0.000405	0.017392
hmmer_l2_assoc_16	0.126171	1.261711	0.007328	0.000405	0.017392

hmmer_l2_size_128kB	0.127378	1.273783	0.007507	0.000405	0.086872
hmmer_l2_size_256kB	0.126271	1.262706	0.007341	0.000405	0.023158
hmmer_l2_size_512kB	0.126171	1.261711	0.007328	0.000405	0.017420
hmmer_l2_size_1024kB	0.126171	1.261711	0.007328	0.000405	0.017392

hmmer_f01		0.119157	1.191571	0.003163	0.000421	0.074938
hmmer_f02		0.119157	1.191568	0.003162	0.000421	0.074881
hmmer_f03		0.119157	1.191568	0.003162	0.000421	0.074881
hmmer_f04		0.118749	1.187493	0.001115	0.000421	0.206899
hmmer_f05		0.118748	1.187483	0.001115	0.000421	0.206780
hmmer_f06		0.118748	1.187483	0.001115	0.000421	0.206780
hmmer_f07		0.118555	1.185552	0.001663	0.000404	0.073438
hmmer_f08		0.118553	1.185529	0.001663	0.000404	0.073346
hmmer_f09		0.118553	1.185529	0.001663	0.000404	0.073346
hmmer_f10		0.118324	1.183238	0.000604	0.000403	0.187613
hmmer_f11		0.118323	1.183231	0.000604	0.000403	0.187374
hmmer_f12		0.118323	1.183231	0.000604	0.000403	0.187374
