Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
libm_cl_size_16kB	0.661753	6.617531	0.244056	0.000078	0.998515
libm_cl_size_32kB	0.392915	3.929154	0.122417	0.000089	0.994133
libm_cl_size_64kB	0.265064	2.650635	0.062151	0.000097	0.973307
libm_cl_size_128kB	0.202733	2.027326	0.033072	0.000106	0.894971
libm_cl_size_256kB	0.173035	1.730355	0.020669	0.000120	0.673327

libm_l1d_assoc_1	0.262425	2.624250	0.060971	0.000097	0.999930
libm_l1d_assoc_2	0.262431	2.624306	0.060971	0.000097	0.999927
libm_l1d_assoc_4	0.262425	2.624250	0.060971	0.000097	0.999929
libm_l1d_assoc_8	0.262425	2.624250	0.060971	0.000097	0.999930
libm_l1d_assoc_16	0.262425	2.624250	0.060971	0.000097	0.999930

libm_l1d_size_8kB	0.270483	2.704834	0.065691	0.000097	0.901283
libm_l1d_size_16kB	0.266949	2.669492	0.063331	0.000098	0.948053
libm_l1d_size_32kB	0.265064	2.650635	0.062151	0.000097	0.973307
libm_l1d_size_64kB	0.264037	2.640374	0.061561	0.000097	0.986445
libm_l1d_size_128kB	0.263552	2.635515	0.061266	0.000097	0.993143

libm_l1i_assoc_1	0.265058	2.650582	0.062151	0.000084	0.973356
libm_l1i_assoc_2	0.265064	2.650635	0.062151	0.000087	0.973344
libm_l1i_assoc_4	0.265064	2.650635	0.062151	0.000085	0.973354
libm_l1i_assoc_8	0.265058	2.650582	0.062151	0.000084	0.973356
libm_l1i_assoc_16	0.265058	2.650582	0.062151	0.000084	0.973356

libm_l1i_size_8kB	0.264055	2.640551	0.061561	0.000171	0.986153
libm_l1i_size_16kB	0.264045	2.640453	0.061561	0.000146	0.986252
libm_l1i_size_32kB	0.264042	2.640420	0.061561	0.000122	0.986347
libm_l1i_size_64kB	0.264037	2.640374	0.061561	0.000097	0.986445
libm_l1i_size_128kB	0.264037	2.640374	0.061561	0.000089	0.986479

libm_l2_assoc_1		0.265010	2.650101	0.062151	0.000097	0.973307
libm_l2_assoc_2		0.265064	2.650635	0.062151	0.000097	0.973307
libm_l2_assoc_4		0.265137	2.651370	0.062151	0.000097	0.973307
libm_l2_assoc_8		0.265007	2.650069	0.062151	0.000097	0.973307
libm_l2_assoc_16	0.265010	2.650101	0.062151	0.000097	0.973307

libm_l2_size_128kB	0.265050	2.650502	0.062151	0.000097	0.973309
libm_l2_size_256kB	0.265164	2.651636	0.062151	0.000097	0.973307
libm_l2_size_512kB	0.265064	2.650635	0.062151	0.000097	0.973307
libm_l2_size_1024kB	0.264998	2.649984	0.062151	0.000097	0.973307

libm_f01		0.173035	1.730355	0.020669	0.000120	0.673327
libm_f02		0.173035	1.730355	0.020669	0.000120	0.673327
libm_f03		0.172981	1.729806	0.020669	0.000120	0.673327
libm_f04		0.172980	1.729797	0.020669	0.000095	0.673424
libm_f05		0.169135	1.691345	0.017953	0.000120	0.804883
libm_f06		0.169060	1.690601	0.017953	0.000120	0.804883
libm_f07		0.169134	1.691341	0.017953	0.000095	0.805019
libm_f08		0.169058	1.690579	0.017953	0.000095	0.805019
