Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
sjeng_cl_size_16kB	2.193358	21.933584	0.487469	0.000029	0.999311
sjeng_cl_size_32kB	1.167714	11.677138	0.243972	0.000023	0.997389
sjeng_cl_size_64kB	0.707553	7.075527	0.122440	0.000020	0.990093
sjeng_cl_size_128kB	0.502749	5.027487	0.062102	0.000014	0.962617
sjeng_cl_size_256kB	0.379588	3.795882	0.032767	0.000011	0.868649

sjeng_l1d_assoc_1	0.705544	7.055438	0.121831	0.000020	0.999976
sjeng_l1d_assoc_2	0.705551	7.055509	0.121834	0.000020	0.999924
sjeng_l1d_assoc_4	0.705544	7.055442	0.121831	0.000020	0.999975
sjeng_l1d_assoc_8	0.705544	7.055442	0.121831	0.000020	0.999975
sjeng_l1d_assoc_16	0.705544	7.055438	0.121831	0.000020	0.999976

sjeng_l1d_size_8kB	0.707866	7.078660	0.122698	0.000020	0.985966
sjeng_l1d_size_16kB	0.707677	7.076767	0.122538	0.000020	0.988522
sjeng_l1d_size_32kB	0.707553	7.075527	0.122440	0.000020	0.990093
sjeng_l1d_size_64kB	0.707504	7.075039	0.122395	0.000020	0.990823
sjeng_l1d_size_128kB	0.707477	7.074769	0.122370	0.000020	0.991229

sjeng_l1i_assoc_1	0.707553	7.075527	0.122440	0.000020	0.990093
sjeng_l1i_assoc_2	0.707553	7.075526	0.122440	0.000019	0.990099
sjeng_l1i_assoc_4	0.707552	7.075521	0.122440	0.000019	0.990100
sjeng_l1i_assoc_8	0.707553	7.075527	0.122440	0.000019	0.990100
sjeng_l1i_assoc_16	0.707555	7.075547	0.122440	0.000019	0.990100

sjeng_l1i_size_8kB	0.707972	7.079723	0.122393	0.000155	0.990020
sjeng_l1i_size_16kB	0.707645	7.076452	0.122393	0.000151	0.990045
sjeng_l1i_size_32kB	0.707505	7.075050	0.122395	0.000022	0.990813
sjeng_l1i_size_64kB	0.707504	7.075039	0.122395	0.000020	0.990823
sjeng_l1i_size_128kB	0.707505	7.075054	0.122395	0.000019	0.990828

sjeng_l2_assoc_1	0.705551	7.055509	0.121834	0.000020	0.999924
sjeng_l2_assoc_2	0.707553	7.075527	0.122440	0.000020	0.990093
sjeng_l2_assoc_4	0.707562	7.075623	0.122440	0.000020	0.990093
sjeng_l2_assoc_8	0.707525	7.075252	0.122440	0.000020	0.990093
sjeng_l2_assoc_16	0.707515	7.075151	0.122440	0.000020	0.990093

sjeng_l2_size_128kB	0.707571	7.075711	0.122440	0.000020	0.990104
sjeng_l2_size_256kB	0.707577	7.075767	0.122440	0.000020	0.990095
sjeng_l2_size_512kB	0.707553	7.075527	0.122440	0.000020	0.990093
sjeng_l2_size_1024kB	0.707513	7.075125	0.122440	0.000020	0.990093

sjeng_f01		0.379490	3.794903	0.032667	0.000011	0.873666
sjeng_f02		0.379446	3.794458	0.032667	0.000011	0.873666
sjeng_f03		0.379421	3.794208	0.032667	0.000011	0.873666
sjeng_f04		0.379447	3.794468	0.032667	0.000011	0.873666
