Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
bzip_s01	0.171933	1.719333	0.017907	0.000083	0.264547
bzip_s02	0.166781	1.667813	0.017915	0.000083	0.172332
bzip_s03	0.171797	1.717967	0.017908	0.000056	0.264568
bzip_s04	0.166806	1.668058	0.017916	0.000056	0.172345
bzip_s05	0.167250	1.672499	0.013788	0.000082	0.329222
bzip_s06	0.162655	1.626552	0.013793	0.000082	0.218489
bzip_s07	0.167429	1.674289	0.013789	0.000056	0.329271
bzip_s08	0.162788	1.627875	0.013793	0.000056	0.218515

hmmer_s01	0.128496	1.284959	0.000610	0.032424	0.005313
hmmer_s02	0.128432	1.284319	0.000605	0.032424	0.003397
hmmer_s03	0.117928	1.179282	0.000609	0.000412	0.075843
hmmer_s04	0.117889	1.178894	0.000605	0.000412	0.052695
hmmer_s05	0.128409	1.284093	0.000473	0.032423	0.005018
hmmer_s06	0.128354	1.283540	0.000470	0.032423	0.003437
hmmer_s07	0.117841	1.178414	0.000472	0.000412	0.086525
hmmer_s08	0.117807	1.178066	0.000470	0.000412	0.065090

libm_s01	0.165506	1.655057	0.015244	0.000204	0.998883
libm_s02	0.165487	1.654872	0.015244	0.000204	0.998883
libm_s03	0.165499	1.654993	0.015244	0.000120	0.999578
libm_s04	0.165481	1.654807	0.015244	0.000120	0.999578
libm_s05	0.165506	1.655057	0.015244	0.000204	0.998889
libm_s06	0.165487	1.654872	0.015244	0.000204	0.998889
libm_s07	0.165499	1.654987	0.015244	0.000120	0.999584
libm_s08	0.165480	1.654803	0.015244	0.000120	0.999584

mcf_s01		0.132528	1.325282	0.001181	0.037321	0.017433
mcf_s02		0.132126	1.321258	0.001181	0.037321	0.013574
mcf_s03		0.111412	1.114121	0.001181	0.000033	0.459374
mcf_s04		0.111071	1.110713	0.001181	0.000033	0.370582
mcf_s05		0.132270	1.322699	0.000905	0.037322	0.017092
mcf_s06		0.131899	1.318993	0.000905	0.037322	0.013536
mcf_s07		0.111181	1.111814	0.000905	0.000033	0.602537
mcf_s08		0.110848	1.108481	0.000905	0.000033	0.488485

sjeng_s01	0.371609	3.716090	0.030461	0.000013	0.999847
sjeng_s02	0.371587	3.715869	0.030461	0.000013	0.999839
sjeng_s03	0.371607	3.716070	0.030461	0.000011	0.999905
sjeng_s04	0.371587	3.715869	0.030461	0.000011	0.999900
sjeng_s05	0.371608	3.716084	0.030461	0.000013	0.999859
sjeng_s06	0.371588	3.715881	0.030461	0.000013	0.999850
sjeng_s07	0.371605	3.716055	0.030461	0.000011	0.999914
sjeng_s08	0.371585	3.715853	0.030461	0.000011	0.999910
